nombre,descripcion,precio,stock,stock_minimo
Laptop HP 14,Pantalla 14 pulgadas 8GB RAM,550000,10,5
Mouse Logitech M90,Mouse óptico USB,5000,50,10
Teclado Redragon,K552 mecánico switch blue,25000,20,5
Monitor Samsung 24,Pantalla LED Full HD,180000,15,5
Auriculares Sony WH-CH510,Bluetooth inalámbricos,35000,25,5
Impresora Epson L3250,Multifunción tanque de tinta,290000,8,2
Pendrive Kingston 64GB,USB 3.0,7000,100,20
Parlante JBL GO 3,Portátil Bluetooth,23000,30,5
Router TP-Link Archer C6,Doble banda WiFi,38000,12,3
Silla Gamer Cougar,Ergonómica reclinable,210000,5,1
